subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
14558667,5590,5366,16292,"{""psf"":[""0.000239343"",""0.000361628"",""0.000508587"",""0.000588749"",""0.000700601"",""0.000864139"",""0.000647336"",""0.000470129"",""0.000357116"",""0.000218777"",""0.000155632"",""0.000366796"",""0.000571166"",""0.000923895"",""0.00134462"",""0.00170883"",""0.00163439"",""0.00139011"",""0.00101657"",""0.000587265"",""0.000362161"",""0.000290121"",""0.000558425"",""0.000941575"",""0.00170194"",""0.00287294"",""0.00486326"",""0.00604135"",""0.0043981"",""0.0023303"",""0.00119307"",""0.000604676"",""0.000345963"",""0.000586185"",""0.00126489"",""0.00303824"",""0.00691303"",""0.0163736"",""0.0228824"",""0.0145565"",""0.00556696"",""0.00218831"",""0.000721447"",""0.000502028"",""0.000921202"",""0.00139236"",""0.00492001"",""0.0136503"",""0.0512854"",""0.0840596"",""0.0464846"",""0.0109293"",""0.00365147"",""0.000782697"",""0.000696828"",""0.00128234"",""0.00127383"",""0.00576572"",""0.0166184"",""0.0769542"",""0.140112"",""0.0779081"",""0.0143323"",""0.00472718"",""0.000548147"",""0.00086702"",""0.00113165"",""0.00142603"",""0.0044734"",""0.0120914"",""0.046158"",""0.0846213"",""0.0506362"",""0.0109663"",""0.00374457"",""0.000725394"",""0.000726117"",""0.000797449"",""0.001332"",""0.00255466"",""0.00542958"",""0.0137374"",""0.0224569"",""0.0155245"",""0.00527419"",""0.00202474"",""0.000916449"",""0.000474109"",""0.000507952"",""0.00073381"",""0.00117547"",""0.00212803"",""0.00403631"",""0.00599379"",""0.00473736"",""0.00217461"",""0.00108019"",""0.00051574"",""0.000250216"",""0.000297551"",""0.00037077"",""0.000526475"",""0.000947674"",""0.00140652"",""0.00179148"",""0.00164192"",""0.00101356"",""0.000635145"",""0.000377341"",""0.000161617"",""0.000124725"",""0.000186406"",""0.00036421"",""0.000460296"",""0.000839138"",""0.00109708"",""0.000914338"",""0.000588896"",""0.000417188"",""0.000226367"",""0.000138951\n""],""renorm"":""0.0164741"",""imageSize"":[512,512]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/0757ef2a-0878-41d0-abb4-55d8d2855664.png""}",0,,
14558668,5590,5366,16292,"{""psf"":[""0.000337898"",""0.000548123"",""0.000746892"",""0.0010841"",""0.0015338"",""0.00176485"",""0.00172745"",""0.00143262"",""0.00104179"",""0.000688136"",""0.000475012"",""0.000517439"",""0.000888788"",""0.0013742"",""0.00220509"",""0.00295874"",""0.00351345"",""0.00347224"",""0.00264599"",""0.00180793"",""0.00127915"",""0.000830718"",""0.000809515"",""0.00131766"",""0.00242837"",""0.00435321"",""0.00697781"",""0.00857006"",""0.00784455"",""0.00555982"",""0.00331444"",""0.00187366"",""0.00111657"",""0.00114177"",""0.00219242"",""0.00415253"",""0.00910969"",""0.0168049"",""0.0226512"",""0.0195301"",""0.0115221"",""0.00586161"",""0.00283462"",""0.00144411"",""0.00149823"",""0.00289771"",""0.00686779"",""0.0172906"",""0.0384911"",""0.0543773"",""0.042247"",""0.0204524"",""0.00871127"",""0.00379057"",""0.00178034"",""0.00157641"",""0.00317917"",""0.00837239"",""0.0234776"",""0.0567462"",""0.0785588"",""0.0553783"",""0.0242099"",""0.00959842"",""0.00382597"",""0.0017781"",""0.00138594"",""0.00288927"",""0.00731549"",""0.0189691"",""0.0428951"",""0.055133"",""0.0384202"",""0.017861"",""0.00765499"",""0.00335807"",""0.00161448"",""0.00117567"",""0.00217217"",""0.00473238"",""0.0100419"",""0.0182828"",""0.0222986"",""0.0171288"",""0.00937463"",""0.00478085"",""0.00234741"",""0.00110276"",""0.000861466"",""0.00150889"",""0.00268312"",""0.0045254"",""0.00689751"",""0.00804721"",""0.00682107"",""0.00439606"",""0.00250027"",""0.00156659"",""0.000836223"",""0.000653252"",""0.00111977"",""0.00153548"",""0.00205853"",""0.00278203"",""0.00309333"",""0.00290751"",""0.00213409"",""0.00136822"",""0.000851467"",""0.000565728"",""0.00041629"",""0.000578393"",""0.000849925"",""0.00120311"",""0.00140783"",""0.00143319"",""0.0013479"",""0.00114676"",""0.000767488"",""0.000515372"",""0.000295089\n""],""renorm"":""0.0197495"",""imageSize"":[512,512]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/abf379e8-3ebe-4b38-9125-c332710d3421.png""}",0,,
14558669,5590,5366,16292,"{""psf"":[""0.000262326"",""0.000418247"",""0.000585393"",""0.000697171"",""0.000883825"",""0.00105213"",""0.0010289"",""0.000795354"",""0.000537328"",""0.000306727"",""0.000192609"",""0.000321539"",""0.000611374"",""0.00102131"",""0.001434"",""0.00175181"",""0.00190605"",""0.00196598"",""0.00156589"",""0.000883838"",""0.000428052"",""0.000286968"",""0.000402308"",""0.000855908"",""0.00173705"",""0.00297672"",""0.00504706"",""0.00655095"",""0.00540904"",""0.00311411"",""0.00138266"",""0.000658434"",""0.000370374"",""0.00053915"",""0.00109738"",""0.0028405"",""0.00671494"",""0.0153381"",""0.0231245"",""0.0167123"",""0.00650165"",""0.00243395"",""0.000902308"",""0.000466686"",""0.000756409"",""0.00141108"",""0.00484191"",""0.0138225"",""0.0477965"",""0.0823083"",""0.0503571"",""0.0124721"",""0.00390296"",""0.000923003"",""0.000657647"",""0.000980267"",""0.00132781"",""0.00609433"",""0.0176833"",""0.0767318"",""0.137625"",""0.076763"",""0.0159375"",""0.00491406"",""0.000783535"",""0.0008129"",""0.000828034"",""0.00129644"",""0.00487296"",""0.0131961"",""0.0491858"",""0.084361"",""0.0480192"",""0.0118377"",""0.00389187"",""0.000906011"",""0.000672429"",""0.000653602"",""0.00134192"",""0.00277242"",""0.00621994"",""0.0137922"",""0.0191181"",""0.0129837"",""0.00530665"",""0.00210273"",""0.000838654"",""0.000449582"",""0.000520915"",""0.000876271"",""0.00131857"",""0.00218981"",""0.00369934"",""0.00464607"",""0.00343881"",""0.00196191"",""0.00105503"",""0.000534125"",""0.000331748"",""0.000353393"",""0.000443915"",""0.00060592"",""0.000888305"",""0.000983991"",""0.000946576"",""0.00106395"",""0.00088625"",""0.000556396"",""0.000362016"",""0.000236082"",""0.000193662"",""0.000265643"",""0.000321998"",""0.000386787"",""0.000596114"",""0.000801444"",""0.00064223"",""0.000469291"",""0.00033852"",""0.000255575"",""0.000166939\n""],""renorm"":""0.0117794"",""imageSize"":[512,512]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ecff39cc-1775-4c79-8492-5a51ab8297bf.png""}",0,,
14558670,5590,5366,16292,"{""psf"":[""0.000581521"",""0.000948739"",""0.00130818"",""0.00159247"",""0.00193749"",""0.00190897"",""0.00154336"",""0.00119922"",""0.000889339"",""0.000645473"",""0.000341359"",""0.000762521"",""0.00135842"",""0.00204027"",""0.00303594"",""0.00392008"",""0.00399737"",""0.0034671"",""0.00250333"",""0.00165687"",""0.000984192"",""0.000629951"",""0.000997541"",""0.00181611"",""0.00340794"",""0.00616404"",""0.00887506"",""0.0100174"",""0.00847221"",""0.00551182"",""0.00301854"",""0.00161326"",""0.000927039"",""0.00129409"",""0.00244984"",""0.00548078"",""0.0116411"",""0.0204649"",""0.0251858"",""0.0202603"",""0.0115523"",""0.00543748"",""0.00255688"",""0.00131398"",""0.00154747"",""0.00319365"",""0.00808032"",""0.0195233"",""0.0380027"",""0.0492243"",""0.0383347"",""0.0197402"",""0.00817834"",""0.00337028"",""0.00139748"",""0.00153438"",""0.00353114"",""0.00934709"",""0.0242289"",""0.0489611"",""0.0628736"",""0.0483192"",""0.0241711"",""0.00955778"",""0.00381861"",""0.00162627"",""0.00145251"",""0.00311242"",""0.00798276"",""0.0196036"",""0.0386874"",""0.0495498"",""0.038502"",""0.0200556"",""0.00825153"",""0.00326699"",""0.00151186"",""0.00113165"",""0.00234881"",""0.005176"",""0.010958"",""0.0195854"",""0.0248289"",""0.0204341"",""0.011549"",""0.00542991"",""0.0025024"",""0.00114974"",""0.000920233"",""0.00158889"",""0.00285914"",""0.00517271"",""0.00798944"",""0.0095364"",""0.00822981"",""0.00538633"",""0.00303834"",""0.00159604"",""0.000869616"",""0.000664184"",""0.000894899"",""0.00153958"",""0.00231668"",""0.00322715"",""0.00361138"",""0.00323642"",""0.00249995"",""0.0014796"",""0.000986949"",""0.000574627"",""0.00046079"",""0.000635125"",""0.000802914"",""0.00115907"",""0.00140192"",""0.00152558"",""0.00147952"",""0.0011459"",""0.000859307"",""0.00059814"",""0.000370516\n""],""renorm"":""0.0110721"",""imageSize"":[512,488]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ce24ed23-b9ae-4375-a66e-a60d2f3bc83e.png""}",0,,
14558671,5590,5366,16292,"{""psf"":[""0.000205404"",""0.000333327"",""0.00060245"",""0.000869025"",""0.00109898"",""0.00112892"",""0.00092492"",""0.000682715"",""0.000446262"",""0.000271507"",""0.000178232"",""0.000305926"",""0.000542957"",""0.000993077"",""0.00178124"",""0.00242977"",""0.00257842"",""0.00212763"",""0.00139665"",""0.000793993"",""0.000437062"",""0.000245163"",""0.000401916"",""0.000820601"",""0.00170601"",""0.00357092"",""0.00669834"",""0.00825882"",""0.00630269"",""0.00337245"",""0.00151628"",""0.000768424"",""0.000398277"",""0.00061239"",""0.00118343"",""0.00295158"",""0.00755446"",""0.0192174"",""0.0274374"",""0.0187734"",""0.00771841"",""0.00275615"",""0.00103518"",""0.000483029"",""0.00089167"",""0.00150057"",""0.00461882"",""0.0139258"",""0.0470123"",""0.0752392"",""0.0468611"",""0.0147825"",""0.00458892"",""0.00122195"",""0.000712629"",""0.00115518"",""0.00160631"",""0.00577821"",""0.0178308"",""0.0694168"",""0.117108"",""0.0689443"",""0.0183983"",""0.00577609"",""0.00128094"",""0.000896529"",""0.000972238"",""0.00157959"",""0.00480891"",""0.0136903"",""0.0471925"",""0.0778169"",""0.0476218"",""0.0140415"",""0.00459515"",""0.00122459"",""0.000749015"",""0.000694159"",""0.00119324"",""0.00283751"",""0.00688411"",""0.0160804"",""0.0225192"",""0.0161044"",""0.0068998"",""0.00267933"",""0.00118774"",""0.000578846"",""0.000481862"",""0.000874728"",""0.00175293"",""0.00324815"",""0.00497882"",""0.00573078"",""0.00435313"",""0.00258674"",""0.0015209"",""0.000845717"",""0.000473705"",""0.000373951"",""0.000620541"",""0.00106995"",""0.00160123"",""0.00180036"",""0.00172524"",""0.00146758"",""0.00107959"",""0.0007416"",""0.000558068"",""0.000360067"",""0.000275411"",""0.000430179"",""0.000676904"",""0.000833731"",""0.000947721"",""0.000945374"",""0.000756362"",""0.000626534"",""0.000401717"",""0.000251126"",""0.000200229\n""],""renorm"":""0.0164187"",""imageSize"":[512,512]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/bcbb5218-b52c-49f6-ba0d-5c3a7ac78213.png""}",0,,
14558672,5590,5366,16292,"{""psf"":[""0.000267692"",""0.000406269"",""0.000374146"",""0.000468903"",""0.00084626"",""0.00118096"",""0.000875064"",""0.000606128"",""0.000335483"",""0.000166652"",""0.000158513"",""0.000344162"",""0.000582673"",""0.000760504"",""0.00105748"",""0.00127433"",""0.00140889"",""0.00156259"",""0.00111671"",""0.000616631"",""0.00039276"",""0.00024218"",""0.000430241"",""0.000833848"",""0.00149985"",""0.00236766"",""0.00459482"",""0.00647475"",""0.00460383"",""0.00231399"",""0.0012376"",""0.000766341"",""0.00044376"",""0.000502975"",""0.00103654"",""0.00256192"",""0.00605331"",""0.0139565"",""0.0199545"",""0.0137505"",""0.00629161"",""0.003124"",""0.00130491"",""0.000653125"",""0.000518169"",""0.000934032"",""0.00344023"",""0.0111563"",""0.0478301"",""0.0779468"",""0.0430844"",""0.0157829"",""0.00699272"",""0.00216725"",""0.000908395"",""0.000633093"",""0.00086157"",""0.00397636"",""0.0153836"",""0.0779569"",""0.125471"",""0.0717724"",""0.0266006"",""0.00999826"",""0.00284691"",""0.00114431"",""0.000529804"",""0.00103656"",""0.0032356"",""0.012514"",""0.0479537"",""0.0737572"",""0.0512943"",""0.0238841"",""0.00871"",""0.00246877"",""0.000984157"",""0.000512033"",""0.0010094"",""0.00206963"",""0.00551088"",""0.0131901"",""0.0202058"",""0.0179537"",""0.0107398"",""0.00436733"",""0.00151058"",""0.000659305"",""0.000556359"",""0.000834242"",""0.00134563"",""0.00221315"",""0.00370548"",""0.00492309"",""0.00463931"",""0.0031973"",""0.00166072"",""0.00088326"",""0.00044652"",""0.000428229"",""0.000600332"",""0.000793478"",""0.000973497"",""0.00108723"",""0.00113209"",""0.00120538"",""0.00102682"",""0.000838185"",""0.000505173"",""0.000339731"",""0.000252352"",""0.000355677"",""0.000414367"",""0.000572788"",""0.00073761"",""0.000807661"",""0.000684149"",""0.000502738"",""0.000439967"",""0.000377603"",""0.00021575\n""],""renorm"":""0.0110647"",""imageSize"":[512,512]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a182805f-c393-48a3-a29e-a43b202efadf.png""}",0,,
14558673,5590,5366,16292,"{""psf"":[""0.000252276"",""0.000486695"",""0.00066766"",""0.0010647"",""0.00120608"",""0.00135978"",""0.00128986"",""0.0009968"",""0.000657503"",""0.000388162"",""0.000237545"",""0.000411446"",""0.000704116"",""0.00126904"",""0.00199892"",""0.00276798"",""0.0032975"",""0.00286141"",""0.00211899"",""0.00140015"",""0.000751517"",""0.000400629"",""0.000700066"",""0.00105008"",""0.00211506"",""0.00418356"",""0.00721169"",""0.00909662"",""0.00768005"",""0.00477783"",""0.00260316"",""0.00124278"",""0.000721277"",""0.000928017"",""0.00180053"",""0.00400347"",""0.00911611"",""0.01873"",""0.0255766"",""0.0202612"",""0.0105431"",""0.00463832"",""0.00200013"",""0.000978586"",""0.00134368"",""0.00259494"",""0.00645138"",""0.0173013"",""0.0428447"",""0.0616994"",""0.0444305"",""0.0188094"",""0.00669136"",""0.00247957"",""0.000960059"",""0.00148139"",""0.0028721"",""0.00765335"",""0.0222368"",""0.0604963"",""0.0894814"",""0.0597309"",""0.0226233"",""0.00748735"",""0.00257109"",""0.00110302"",""0.00113897"",""0.00227309"",""0.00620524"",""0.0174839"",""0.0442538"",""0.0636284"",""0.043161"",""0.0167874"",""0.00586497"",""0.00201614"",""0.000944693"",""0.000685444"",""0.00174234"",""0.00365203"",""0.0089731"",""0.0186175"",""0.0243453"",""0.0177201"",""0.00832915"",""0.0034304"",""0.00141109"",""0.000722164"",""0.000413888"",""0.00105175"",""0.00213228"",""0.00388113"",""0.00629016"",""0.00768792"",""0.00603329"",""0.00360196"",""0.00206794"",""0.00106803"",""0.000566167"",""0.000345867"",""0.000655688"",""0.00122307"",""0.0019152"",""0.00233808"",""0.00242554"",""0.00196956"",""0.00160478"",""0.000854972"",""0.000665837"",""0.000421002"",""0.000341597"",""0.00036934"",""0.000627063"",""0.000992033"",""0.00107369"",""0.00109195"",""0.00108582"",""0.000762076"",""0.00055466"",""0.00041076"",""0.000200321""],""renorm"":""0.00812398"",""imageSize"":[512,512]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2d909a6a-93c0-4a18-9a28-212b88cc2841.png""}",0,,
14708759,5590,5366,16432,"{""psf"":[""0.000346861"",""0.000484589"",""0.000450051"",""0.000394118"",""0.000688301"",""0.00121847"",""0.000886796"",""0.000599859"",""0.000263715"",""0.000142584"",""6.0829e-05"",""0.000475345"",""0.000773263"",""0.000842753"",""0.00105129"",""0.000978179"",""0.000609232"",""0.000980593"",""0.00102168"",""0.000529317"",""0.000354385"",""0.000225968"",""0.000501853"",""0.00101364"",""0.00168647"",""0.00234824"",""0.00385062"",""0.00572676"",""0.00440515"",""0.00215965"",""0.00114494"",""0.000669416"",""0.000269451"",""0.00039885"",""0.00111918"",""0.00235367"",""0.00510873"",""0.0110191"",""0.0161801"",""0.0128026"",""0.00529296"",""0.00198027"",""0.000842762"",""0.000488502"",""0.000573473"",""0.000482002"",""0.00322768"",""0.00735782"",""0.0445891"",""0.0961012"",""0.0517983"",""0.0127877"",""0.00371228"",""0.000835544"",""0.000638039"",""0.000984496"",""-0.000361243"",""0.00477449"",""0.00700296"",""0.0839579"",""0.192908"",""0.0857193"",""0.0165898"",""0.00454468"",""0.000877629"",""0.00073347"",""0.000683348"",""0.000378392"",""0.00317773"",""0.0072096"",""0.0491157"",""0.0972883"",""0.0424455"",""0.00965552"",""0.00286911"",""0.00091365"",""0.000555853"",""0.00040147"",""0.000966566"",""0.00161384"",""0.00436184"",""0.00991627"",""0.0119472"",""0.00822545"",""0.00359441"",""0.0014077"",""0.000504359"",""0.000342688"",""0.000453895"",""0.00093226"",""0.00112749"",""0.00145375"",""0.00299708"",""0.00476626"",""0.00268644"",""0.00130068"",""0.000866954"",""0.000435291"",""0.00029425"",""0.000429902"",""0.000602491"",""0.000675389"",""0.000755092"",""0.000432527"",""-4.87401e-05"",""0.00071016"",""0.000740425"",""0.000597292"",""0.000370674"",""0.000248232"",""0.000261636"",""0.000247145"",""0.000421333"",""0.000451578"",""0.000664986"",""0.00117028"",""0.000664366"",""0.000362554"",""0.000324505"",""0.000266123"",""0.000187512\n""],""renorm"":""0.0128105"",""imageSize"":[512,528]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6e584df9-61ce-4171-8447-238e5f8130c1.png""}",22,2017-11-23 17:02:26 UTC,classification_count
14708760,5590,5366,16432,"{""psf"":[""0.000207743"",""0.000346208"",""0.00054021"",""0.000767705"",""0.00119597"",""0.00138916"",""0.00129701"",""0.000864834"",""0.000597103"",""0.000434894"",""0.000208594"",""0.000516378"",""0.000684623"",""0.00100381"",""0.00182195"",""0.0027484"",""0.00340386"",""0.00295544"",""0.00195759"",""0.00112287"",""0.000612949"",""0.000335545"",""0.000673761"",""0.0011485"",""0.00208913"",""0.0041744"",""0.00723524"",""0.00957729"",""0.00788201"",""0.00440026"",""0.00215274"",""0.000982828"",""0.000555987"",""0.000954263"",""0.00176472"",""0.00395015"",""0.00927762"",""0.019686"",""0.0280502"",""0.0208031"",""0.00945594"",""0.00383059"",""0.00158486"",""0.000642487"",""0.00107645"",""0.00234531"",""0.00651548"",""0.0181089"",""0.0431249"",""0.0604492"",""0.0432218"",""0.0184476"",""0.00638813"",""0.00237506"",""0.000973347"",""0.000975781"",""0.00248192"",""0.00750813"",""0.0233591"",""0.0573056"",""0.0780762"",""0.0567998"",""0.0254278"",""0.00844384"",""0.00302337"",""0.00118748"",""0.000804625"",""0.00219906"",""0.00607106"",""0.0183266"",""0.0452953"",""0.0596872"",""0.0428245"",""0.0201354"",""0.00726218"",""0.00267823"",""0.00109327"",""0.000549322"",""0.00146588"",""0.00377003"",""0.0101692"",""0.0221635"",""0.027141"",""0.0189322"",""0.00956389"",""0.00408402"",""0.0017868"",""0.000660562"",""0.000453346"",""0.000992514"",""0.00221351"",""0.0045974"",""0.00765327"",""0.00819399"",""0.00621381"",""0.00380035"",""0.00190676"",""0.000907856"",""0.000581249"",""0.000330734"",""0.000641571"",""0.0013592"",""0.00212906"",""0.0026349"",""0.00281845"",""0.0022288"",""0.00160613"",""0.000870348"",""0.000440017"",""0.000411236"",""0.000291795"",""0.000332019"",""0.000699749"",""0.000983102"",""0.00106619"",""0.00102886"",""0.000994694"",""0.000671167"",""0.000392642"",""0.000221357"",""0.000170269\n""],""renorm"":""0.0376915"",""imageSize"":[512,565]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ee18dea2-cbc1-4a71-b295-f5d88ab9fc51.png""}",20,2017-11-23 17:22:33 UTC,classification_count
14708761,5590,5366,16432,"{""psf"":[""0.000142435"",""0.000264502"",""0.00047598"",""0.000746093"",""0.000951093"",""0.000833529"",""0.000741281"",""0.000660646"",""0.00061744"",""0.00042759"",""0.000257424"",""0.000245121"",""0.000366471"",""0.000776484"",""0.00135957"",""0.00200551"",""0.00206052"",""0.00161189"",""0.0013335"",""0.000977845"",""0.000531567"",""0.000298449"",""0.000382025"",""0.000635035"",""0.001341"",""0.00280241"",""0.00504236"",""0.00628246"",""0.00497531"",""0.00286921"",""0.001509"",""0.000737623"",""0.000340596"",""0.000517974"",""0.00090631"",""0.00249438"",""0.00629172"",""0.0167627"",""0.0262395"",""0.0174575"",""0.00618455"",""0.00234934"",""0.000868052"",""0.000433742"",""0.000751575"",""0.00127429"",""0.00432425"",""0.0135896"",""0.0461766"",""0.0790614"",""0.0489483"",""0.0119972"",""0.00366599"",""0.00093477"",""0.00072297"",""0.000955028"",""0.0018286"",""0.00576084"",""0.0225311"",""0.0702644"",""0.113897"",""0.0737367"",""0.0173219"",""0.00451832"",""0.00103325"",""0.000845383"",""0.000876853"",""0.00186657"",""0.0049423"",""0.0197551"",""0.0535798"",""0.0750777"",""0.0498637"",""0.0145468"",""0.00371108"",""0.00120674"",""0.000618435"",""0.000674961"",""0.00125191"",""0.00305388"",""0.00842737"",""0.0201709"",""0.0241774"",""0.015529"",""0.00663631"",""0.00246496"",""0.00104616"",""0.000491867"",""0.000436303"",""0.000687779"",""0.00143145"",""0.00270945"",""0.0049199"",""0.00582423"",""0.00451846"",""0.00257819"",""0.00130599"",""0.000748873"",""0.000390089"",""0.000267062"",""0.000429129"",""0.000675257"",""0.00103667"",""0.00154607"",""0.00169415"",""0.0014833"",""0.00110687"",""0.000709482"",""0.000471256"",""0.000304511"",""0.000197778"",""0.000283619"",""0.000425676"",""0.000600237"",""0.0007881"",""0.000947947"",""0.000785736"",""0.000564389"",""0.000421336"",""0.000293103"",""0.000200467\n""],""renorm"":""0.0264927"",""imageSize"":[512,512]}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/44613bf2-7b87-4275-96f9-956bb0f397d9.png""}",16,2017-11-23 17:26:30 UTC,classification_count
