SDSS_dr8objid,ra,dec,Fit_components,u_disc,g_disc,r_disc,i_disc,z_disc,n_disc,re_disc,ba_disc,u_bar,g_bar,r_bar,i_bar,z_bar,n_bar,re_bar,ba_bar,u_bulge,g_bulge,r_bulge,i_bulge,z_bulge,n_bulge,re_bulge,ba_bulge,redshift,PETROMAG_MR,MASS_AVG,p_bar,DT_u,DT_g,DT_r,DT_i,DT_z,BarT_u,BarT_g,BarT_r,BarT_i,BarT_z,BT_u,BT_g,BT_r,BT_i,BT_z,(u-r)_disc,(u-r)_bar,(u-r)_bulge,(g-i)_disc,(g-i)_bar,(g-i)_bulge,(r-z)_disc,(r-z)_bar,(r-z)_bulge,chi2
1237648722314264671,202.30771,0.7285206,disc+bar,16.58,15.41,14.91,14.64,14.5,1.0,33.3,0.83,19.75,18.36,17.88,17.59,17.32,1.41,14.63,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,-19.97,9.69,0.66,0.95,0.94,0.94,0.94,0.93,0.05,0.06,0.06,0.06,0.07,0.0,0.0,0.0,0.0,0.0,1.54,1.74,0.0,0.69,0.7,0.0,0.35,0.51,0.0,1.16
1237650372095770797,187.30852,-1.356052,disc+bar,17.52,16.48,16.12,15.96,15.98,1.0,24.1,0.54,19.55,18.31,17.93,17.72,17.3,0.55,11.74,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-16.49,8.11,0.67,0.87,0.84,0.84,0.84,0.77,0.13,0.16,0.16,0.16,0.23,0.0,0.0,0.0,0.0,0.0,1.32,1.55,0.0,0.48,0.54,0.0,0.12,0.6,0.0,1.11
1237651203157590127,198.2736,-0.5946814,disc+bar,17.55,16.36,15.94,15.65,15.52,1.0,29.21,0.75,21.66,19.96,18.98,18.69,18.39,2.12,9.28,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-20.3,9.82,0.7,0.98,0.97,0.94,0.94,0.93,0.02,0.03,0.06,0.06,0.07,0.0,0.0,0.0,0.0,0.0,1.47,2.49,0.0,0.61,1.17,0.0,0.36,0.54,0.0,1.15
1237651250947752181,128.34932,49.67359,disc+bar,18.46,17.05,16.33,15.95,15.7,1.0,13.37,0.81,24.4,20.32,19.49,19.03,18.48,0.1,10.47,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,-20.67,10.33,0.58,1.0,0.95,0.95,0.94,0.93,0.0,0.05,0.05,0.06,0.07,0.0,0.0,0.0,0.0,0.0,1.95,4.63,0.0,0.95,1.14,0.0,0.55,0.92,0.0,1.19
1237651250977243258,243.33995,48.15504,disc+bar,17.82,17.22,17.02,17.16,16.86,1.0,11.77,0.34,18.27,16.81,16.33,16.01,15.89,1.66,8.48,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-18.81,9.1,0.55,0.6,0.41,0.35,0.26,0.29,0.4,0.59,0.65,0.74,0.71,0.0,0.0,0.0,0.0,0.0,0.69,1.84,0.0,-0.02,0.75,0.0,0.12,0.41,0.0,1.15
1237651274038444126,137.22081,59.722576,disc+bar,17.58,16.27,15.82,15.53,15.34,1.0,22.87,0.69,24.66,20.73,19.06,18.52,18.3,1.31,6.81,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,-20.79,10.09,0.75,1.0,0.98,0.95,0.94,0.94,0.0,0.02,0.05,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.57,5.25,0.0,0.62,2.18,0.0,0.41,0.87,0.0,1.17
1237651713724776662,248.10846,45.90823,disc+bar,17.68,16.75,16.43,16.21,16.1,1.0,19.06,0.92,20.75,19.59,19.03,18.96,18.94,0.74,10.41,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,-18.6,8.89,0.77,0.94,0.93,0.92,0.93,0.93,0.06,0.07,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.15,1.63,0.0,0.49,0.57,0.0,0.3,0.06,0.0,1.19
1237651714799042842,249.92757,45.296154,disc+bar,17.81,16.7,16.32,16.07,15.96,1.0,19.33,0.77,21.98,20.26,19.41,19.01,18.7,0.31,5.13,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,-20.73,9.94,0.9,0.98,0.96,0.94,0.94,0.93,0.02,0.04,0.06,0.06,0.07,0.0,0.0,0.0,0.0,0.0,1.38,2.4,0.0,0.53,1.14,0.0,0.31,0.66,0.0,1.21
1237651715334471915,247.74214,48.28027,disc+bar,18.73,17.39,16.94,16.67,16.59,1.0,14.72,0.74,20.99,19.89,19.39,19.15,18.99,0.85,7.61,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,-19.09,9.35,0.54,0.89,0.91,0.9,0.91,0.9,0.11,0.09,0.1,0.09,0.1,0.0,0.0,0.0,0.0,0.0,1.67,1.48,0.0,0.65,0.67,0.0,0.31,0.35,0.0,1.2
1237651737375604894,198.40099,3.1507375,disc+bar,18.27,16.82,16.2,15.84,15.6,1.0,13.42,0.65,20.31,19.39,18.62,18.13,17.77,0.22,6.45,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,-20.67,10.27,0.57,0.87,0.91,0.9,0.89,0.88,0.13,0.09,0.1,0.11,0.12,0.0,0.0,0.0,0.0,0.0,1.9,1.54,0.0,0.86,1.13,0.0,0.54,0.8,0.0,1.16
