gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-20902041,1,5.359826,-12.703235,79.852370,0.000000,1.035466,79.852370,100.845867,0,0,0,95.467817,972.000000,66.752755,6.556317,0.336264,1.445851,469.728146,[0.8 0 1]
subject-20902041,2,6.489088,19.136046,106.933189,0.000000,0.954676,76.780091,106.933189,0,0,0,91.982810,931.000000,71.009139,7.015704,0.333816,1.507809,494.294824,[1 0 0.6]
subject-20902041,3,8.052705,18.356404,107.564080,0.000000,0.856530,80.953970,107.564080,0,0,0,84.496133,666.000000,45.671055,5.794336,0.334660,1.794902,585.110505,[0.2 1 0]
subject-20902041,4,10.298041,-19.854511,77.379987,0.000000,0.832783,77.379987,104.526821,0,0,0,79.929927,901.000000,90.527081,8.030880,0.348193,1.496732,512.696159,[0 1 0.4]
subject-20902041,5,8.914777,-28.783569,79.620995,0.000000,0.712602,79.620995,117.774049,0,0,0,79.237524,814.000000,87.476465,8.515256,0.331552,1.997851,829.728975,[1 0 0]
subject-20902041,6,7.399227,-25.408104,81.860766,0.000000,0.614527,81.860766,109.609612,0,0,0,64.673141,637.000000,48.022906,4.875655,0.335710,1.552852,381.976484,[0 1 1]
subject-20902041,7,8.394188,1.344637,85.142835,0.000000,0.751146,83.654806,85.142835,0,0,0,63.411637,280.000000,5.490082,1.243340,0.332560,1.008632,2.263312,[0.8 1 0]
subject-20902041,8,11.189734,24.593848,111.789494,0.000000,0.466191,90.309181,111.789494,0,0,0,51.612644,320.000000,13.566074,2.188065,0.341665,1.938158,335.870935,[0.2 0 1]
subject-20902041,9,9.595672,28.159923,111.376721,0.000000,0.439234,88.040652,111.376721,0,0,0,49.447718,601.000000,105.203555,8.655700,0.352265,1.445395,295.897978,[1 0.6 0]
subject-20902041,10,11.245018,27.235389,103.626882,0.000000,0.417061,83.607281,103.626882,0,0,0,43.744616,228.000000,5.623826,1.079000,0.332423,0.997455,0.208958,[0 0.4 1]
