gxyName,alenRank,math_initial_theta,pitch_angle,math_initial_radius,relative_theta_start,relative_theta_end,r_start,r_end,used2rev,failed2rev,hasUndefinedEndpoints,arc_length,num_pixels,err_per_len,err_per_pixel,mean_intensity,brt_ratio_score,anovaF_score,clusOutputColor
subject-20902064,1,6.454852,35.569928,135.443946,0.000000,1.466750,47.447881,135.443946,0,0,0,151.274969,3334.000000,943.872305,42.826711,0.519888,1.296481,1214.144297,[0.8 0 1]
subject-20902064,2,9.308518,24.792465,124.767960,0.000000,1.500776,62.379656,124.767960,0,0,0,148.779964,2440.000000,317.518889,19.360840,0.483268,1.124545,410.969540,[1 0.6 0]
subject-20902064,3,9.154162,19.617653,74.740110,0.000000,2.189361,34.249101,74.740110,0,0,0,120.601628,1469.000000,188.135393,15.445497,0.616269,1.041290,41.950772,[0.8 1 0]
subject-20902064,4,10.803298,-13.935886,64.429309,0.000000,1.082273,64.429309,84.278231,0,0,0,82.416764,979.000000,124.488335,10.480006,0.545157,1.057043,45.376819,[0 0.4 1]
subject-20902064,5,7.794685,-5.066417,56.385581,0.000000,1.215900,56.385581,62.803532,0,0,0,72.674858,923.000000,158.108628,12.449103,0.568635,1.142082,239.414367,[0 1 1]
subject-20902064,6,8.038364,15.464955,28.871717,0.000000,2.921102,12.867349,28.871717,0,0,0,60.020373,595.000000,157.664348,15.904324,0.806760,1.024226,21.214954,[0 1 0.4]
subject-20902064,7,6.056986,52.352064,41.068095,0.000000,1.056596,10.439382,41.068095,0,0,0,38.683416,423.000000,449.392902,41.097051,0.724376,1.010876,0.927362,[0.2 0 1]
subject-20902064,8,9.290641,2.304526,126.095131,0.000000,0.262177,124.771715,126.095131,0,0,0,32.912037,151.000000,4.026657,0.877652,0.374164,1.086541,59.653341,[1 0 0]
subject-20902064,9,12.215223,40.065693,91.688722,0.000000,0.285183,72.135395,91.688722,0,0,0,30.378087,284.000000,60.958872,6.520472,0.407382,1.032674,41.795773,[1 0 0.6]
subject-20902064,10,9.149349,-38.300579,29.199877,0.000000,0.500225,29.199877,43.346536,0,0,0,22.825035,399.000000,605.305249,34.626851,0.658745,1.022030,8.671221,[0.2 1 0]
